Category,Sub-category,Brand,Product Name,Rating,Review,Bersih,combined_features
cleanser ,oil,Biore,Cleansing Oil,4.1,"cocok pake biore cleansing oil. aq gak make up an, tp double cleansing its a must kulitku acne prone. coba merk, tp kayanya udh cocok deh aq.",cocok pakai biore cleansing oil   memakai up an  double cleansing   must kulitku acne prone coba merek    cocok deh,cleanser  oil Biore
cleanser,oil,Hada Labo,Gokujyun Ultimate Moisturizing Cleansing Oil,4.2,"nyobain melembabkan ringan wajah. melembabkannya lumayan, sayangnya ga berjodoh dengannya:(( gatau bikin kilang minyak. kulit tergolong kering. bikin kulit kusam",mencoba melembabkan ringan wajah melembabkannya lumayan sayangnya  berjodoh dengannya enggak tau  kilang minyak kulit tergolong kering  kulit kusam,cleanser oil Hada Labo
cleanser,oil,Biore,Makeup Remover Cleansing Oil Sheet,4.3,"ngangkat make up kalo make up heavy, trs bikin bruntusan+jerawat mendem nyebar gatau, beli krn iseng nyobain trs ga nyadar muncul jerawat dagu kl bo jerawatannya dahi trs ngira produk skincare trs masi pake ngebersihin make up udh abis trs stop pake eh mendingan gaada jerawat numbuh jerawatan gara gara ini😭",mengangkat memakai up  memakai up heavy   bruntusan jerawat mendem menyebarkan enggak tau beli  iseng mencoba   menyadar muncul jerawat dagu kalo bo jerawatannya dahi   produk skincare   pakai ngebersihin memakai up  habis  berhenti pakai eh lebih baik enggak ada jerawat numbuh jerawatan gara gara,cleanser oil Biore
cleanser,oil,NIVEA,Soothing Cleansing Oil Face & Eyes With Natural Grape Seed Oil,4.1,"bingung nyari cleanser micellar apaa, yaudah beli mikirnya produk nivea enak dipake. dipake, hapus maskara waterproof effort, wanginya bener2 kayak minyak goreng, ga deh",bingung mencari cleanser micellar  ya sudah beli memikirnya produk nivea  dipakai dipakai hapus maskara tahan air effort wanginya   minyak goreng  deh,cleanser oil NIVEA
cleanser,oil,DHC,Deep Cleansing Oil,4.3,"niatnya pgn upgrade produk lbh mahal, pilihlah produk. gara2 kena omongan ba watson lgsg beli gede lg krna lg promo. malam ny pemakaian mimpi buruknya. dr tekstur bau sm warna bgt 100% smp minyak goreng apply muka susah bgt diusap2. sumpah udh baunya enek bgt susah jg dibilas, baunya ga ilang2. klimaksnya esok paginya jerawat gede2 muncul, lgsg pikir buang sampah. produk skincare terburuh rasain",niatnya pengin peningkatan produk  mahal pilihlah produk gara sentuh omongan ba watson  beli     promo malam  pemakaian mimpi buruknya dokter tekstur bau  warna banget   minyak goreng apply muka susah banget diusap sumpah  baunya enek banget susah  dibilas baunya  hilang klimaksnya esok paginya jerawat  muncul  pikir buang sampah produk skincare terburuh merasai,cleanser oil DHC
cleanser,oil,The Body Shop,Camomile Silky Cleansing Oil,4,"jujur cleansing oil ter enakeun parah. pake 1-2 pump diaply kewajah makeup langsung keangkat, mascara waterprof keangkat gampang. bersih sebersih bersihnya ga bikin muka berminyak parah. recommend bgt",jujur cleansing oil ter enakeun parah pakai  pump diaply kewajah makeup  keangkat mascara waterprof keangkat mudah bersih sebersih bersihnya   muka berminyak parah direkomendasikan banget,cleanser oil The Body Shop
cleanser,oil,KOSE Cosmeport,Softymo Cleansing Oil,4.5,"3 pake, pake 2 pump, membersihkannya bagus-bagus gaada efek negatif 3(kulitku rewel kalo ga cocok cepet reaksinya). dibaurin kemuka aroma tp gak ganggu, aroma macem2 oil cleansing oilnya. abis dibilas air suam suam kuku muka berasa lembut(mungkin cleansing oilnya udh gaada nyisa muka..). ngapus maskara, gosok bersihin maskara sisa maskara ku suka nempel dibawah mata item2 gt abis cuci muka dibantu hapus kapas/cotton bud. beli cleansing oilku udh abis liat temen2 fd pake cocok. isinya 230ml😆",pakai pakai  pump membersihkannya bagus bagus enggak ada efek negatif kulitku rewel   cocok cepat reaksinya dibaurin kemuka aroma   ganggu aroma  oil cleansing oilnya habis dibilas air suam suam kuku muka berasa lembutmungkin cleansing oilnya  enggak ada nyisa muka menghapus maskara gosok bersihkan maskara sisa maskara ku suka menempel di bawah  hitam  habis cuci muka dibantu hapus kapas cotton bud beli cleansing oilku  habis  teman fd pakai cocok isinya ml,cleanser oil KOSE Cosmeport
cleanser,oil,Emina,Trace Less Oil Cleanser,3.6,"inituh cocok simple ribet bersihin sisa make up wajah, pakai traceless oil cleanser tinggal usap langsung bersih kulit wajah seger, kemasannya mini dibawa kemana",inituh cocok sederhana ribet bersihkan sisa memakai up wajah pakai traceless oil cleanser tinggal usap  bersih kulit wajah segar kemasannya mini dibawa ke mana,cleanser oil Emina
cleanser,oil,Skin1004,Madagascar Centella Light Cleansing Oil,4.5,"suka produk.. bikin kulit bersih.. gk oilly, alus berasanya.. berasa residu make up keangkat.. plong deh pake nyaa.. rekomended kulit kombinasi.. ak beli tokopedia, promo",suka produk  kulit bersih  oilly halus berasanya berasa residu memakai up keangkat plong deh pakai  direkomendasikan kulit kombinasi  beli tokopedia promo,cleanser oil Skin1004
cleanser,oil,Senka,All Clear Oil,4.1,"coba produk botol gede, 1x. lumayan aq cocok pake merk sebelah. ringan, wangi lembut, bersih kerasa... menurutku.......",coba produk botol   lumayan  cocok pakai merek sebelah ringan wangi lembut bersih kerasa menurutku,cleanser oil Senka
cleanser,oil,NIVEA,Hydrating Cleansing Oil Face & Eye With Natural Coconut Oil,4.1,"cleansing oil bikin jatuh cinta. bener2 bikin ngehapus makeup. engga ninggalin sisa2 makeup, area mata susah dihapus. kalo tuh bener2 kehapus bersih. engga bikin perih mata. wanginya enak. kaya cleansing balm tbs versi murahnya👍",cleansing oil  jatuh cinta   ngehapus makeup  meninggalkan sisa makeup area  susah dihapus    kehapus bersih   perih  wanginya  kayak cleansing balm tbs versi murahnya,cleanser oil NIVEA
cleanser,oil,Klairs,Gentle Black Deep Cleansing Oil,4.1,"oilnya kental cepat bersihin full makeup wajah. 2 pump full makeup outdoor seharian. rumah, 1 pump. bersihin mata lumayan enak, nggak pedih. oh, gak baunya bilas berasa muka bersih.",oilnya kental cepat bersihkan full makeup wajah  pump full makeup outdoor seharian rumah  pump bersihkan  lumayan   pedih oh  baunya bilas berasa muka bersih,cleanser oil Klairs
